ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
2058,9,Passed for Action,102,SQD-13,Hawaii,Hawaii,PACIFIC,-157.767813,21.447572,161265,CH-53E,H-53,ROTOR,6/26/2015 2:07,56,
2060,7,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165411,FA-18D,F-18 LEGACY,FIXED WING,6/29/2015 2:49,15,Crack
2066,2,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165411,FA-18D,F-18 LEGACY,FIXED WING,7/2/2015 0:00,8,
2068,7,Complete,102,SQD-111,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164722,FA-18C,F-18 LEGACY,FIXED WING,7/6/2015 23:42,97,BUSHING REPAIR
2070,7,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,166342,MH-60S,H-60,ROTOR,7/8/2015 19:47,19,BUSHING REPAIR
2071,7,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,166342,MH-60S,H-60,ROTOR,7/8/2015 19:48,1,
2073,9,Passed for Action,102,SQD-12,Gimhae (KAL),Korea,PACIFIC,128.889352,35.269315,164787,CH-53E,H-53,ROTOR,7/13/2015 1:47,38,
2077,2,Complete,102,SQD-109,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,164970,FA-18C,F-18 LEGACY,FIXED WING,7/14/2015 18:29,54,FUEL CELL
2079,9,Complete,102,SQD-102,Eielson AFB Alaska,Alaska,PACIFIC,-147.063823,64.643095,164945,FA-18D,F-18 LEGACY,FIXED WING,7/15/2015 18:38,42,
2081,7,Complete,102,SQD-109,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,164970,FA-18C,F-18 LEGACY,FIXED WING,7/16/2015 19:32,75,Crack
2082,7,Complete,102,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165687,FA-18D,F-18 LEGACY,FIXED WING,7/20/2015 21:25,87,
2083,2,Complete,102,SQD-112,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,167927,KC-130J,C-130,FIXED WING,7/21/2015 2:51,27,Crack
2084,9,Complete,102,SQD-112,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,168066,KC-130J,C-130,FIXED WING,7/22/2015 18:41,115,
2085,7,Complete,102,SQD-119,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,168014,MV-22B,V-22,ROTOR,7/22/2015 18:54,95,Corrosion
2086,7,Complete,102,SQD-119,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,168014,MV-22B,V-22,ROTOR,7/23/2015 19:33,59,Corrosion
2088,2,P&E Closing Action,102,SQD-80,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,166814,FA-18F,F-18 SUPERS,FIXED WING,7/26/2015 18:23,30,
