ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,10/8/2013 23:11,4,CORROSION
2,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/6/2013 23:11,5,CORROSION
3,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,1/1/2014 23:11,14,CORROSION
4,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,9/19/2013 23:11,9,CORROSION
5,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,10/4/2013 23:11,22,MINOR DEFECT
6,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/18/2013 23:11,19,CORROSION
7,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,9/21/2013 23:11,23,CORROSION
8,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,166763,KC-130J,C-130,FIXED WING,10/22/2013 23:11,14,MINOR DEFECT
9,2,Archived,103,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166892,FA-18F,F-18 SUPERS,FIXED WING,10/22/2013 23:11,6,MINOR DEFECT
10,2,Archived,103,SQD-63,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166932,EA-18G,EA-18,FIXED WING,12/9/2013 23:11,10,MINOR DEFECT
11,2,Archived,103,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,,162010,CH-53E,H-53,ROTOR,11/30/2013 23:11,2,CRACK
12,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,,165528,FA-18D,F-18 LEGACY,FIXED WING,10/19/2013 23:11,9,FUEL CELL
13,2,Archived,103,SQD-115,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,166745,MV-22B,V-22,ROTOR,11/19/2013 23:11,4,MINOR DEFECT
14,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167815,MH-60S,H-60,ROTOR,9/23/2013 23:11,6,CORROSION
15,2,Archived,103,SQD-102,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,,165531,FA-18D,F-18 LEGACY,FIXED WING,12/6/2013 23:11,15,FUEL CELL
16,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167815,MH-60S,H-60,ROTOR,12/15/2013 23:11,21,MINOR DEFECT
18,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166431,FA-18E,F-18 SUPERS,FIXED WING,11/29/2013 23:11,25,FUEL CELL
20,2,Archived,103,SQD-57,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163048,EA-6B,EA-6B,FIXED WING,12/16/2013 23:11,19,MINOR DEFECT
21,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164045,FA-18C,F-18 LEGACY,FIXED WING,11/2/2013 23:11,29,FUEL CELL
22,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164667,FA-18D,F-18 LEGACY,FIXED WING,12/6/2013 23:11,20,CRACK
23,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,11/25/2013 23:11,9,MINOR DEFECT
24,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166431,FA-18E,F-18 SUPERS,FIXED WING,10/22/2013 23:11,11,CRACK
25,2,Archived,103,SQD-136,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,162171,C-2A,E-2/C-2,FIXED WING,12/7/2013 23:11,24,CORROSION
28,2,Archived,103,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167819,MH-60S,H-60,ROTOR,11/28/2013 23:11,24,MINOR DEFECT
29,1,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,165680,FA-18D,F-18 LEGACY,FIXED WING,11/10/2013 23:11,112,BUSHING REPAIR
30,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167106,KC-130J,C-130,FIXED WING,11/19/2013 23:11,16,CRACK
31,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167109,KC-130J,C-130,FIXED WING,10/7/2013 23:11,4,CRACK
32,1,Cancelled,0,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167106,KC-130J,C-130,FIXED WING,12/7/2013 23:11,24,CRACK
33,1,Archived,103,SQD-50,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166568,MH-60R,H-60,ROTOR,11/17/2013 23:11,17,MINOR DEFECT
34,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,166763,KC-130J,C-130,FIXED WING,11/13/2013 23:11,3,CRACK
35,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167109,KC-130J,C-130,FIXED WING,12/21/2013 23:11,12,CRACK
36,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167106,KC-130J,C-130,FIXED WING,9/22/2013 23:11,12,CRACK
37,1,Cancelled,0,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,166763,KC-130J,C-130,FIXED WING,12/22/2013 23:11,24,CRACK
39,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,163081,CH-53E,H-53,ROTOR,11/27/2013 23:11,7,MINOR DEFECT
41,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167981,KC-130J,C-130,FIXED WING,11/3/2013 23:11,2,MINOR DEFECT
42,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,162499,CH-53E,H-53,ROTOR,12/29/2013 23:11,15,CRACK
43,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,162499,CH-53E,H-53,ROTOR,11/9/2013 23:11,20,MINOR DEFECT
46,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164045,FA-18C,F-18 LEGACY,FIXED WING,11/13/2013 23:11,12,MINOR DEFECT
47,1,Archived,103,SQD-78,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,167852,MH-60S,H-60,ROTOR,1/7/2014 23:11,6,MINOR DEFECT
48,1,Archived,103,SQD-78,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,167856,MH-60S,H-60,ROTOR,11/23/2013 23:11,13,MINOR DEFECT
49,1,Archived,103,SQD-78,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,167890,MH-60S,H-60,ROTOR,10/28/2013 23:11,16,MINOR DEFECT
50,2,Archived,103,SQD-78,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,167856,MH-60S,H-60,ROTOR,11/5/2013 23:11,7,MINOR DEFECT
58,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165529,FA-18D,F-18 LEGACY,FIXED WING,10/18/2013 23:11,3,MINOR DEFECT
61,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,166763,KC-130J,C-130,FIXED WING,1/6/2014 23:11,7,MINOR DEFECT
62,2,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,165532,FA-18D,F-18 LEGACY,FIXED WING,11/13/2013 23:11,23,CRACK
63,2,Archived,103,SQD-101,Naples Italy,Italy,EUROPE,14.268124,40.851775,,167898,MH-60S,H-60,ROTOR,11/10/2013 23:11,24,BUSHING REPAIR
64,2,Archived,103,SQD-8,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,,162525,CH-53E,H-53,ROTOR,11/17/2013 23:11,7,MINOR DEFECT
67,2,Archived,103,SQD-57,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163030,EA-6B,EA-6B,FIXED WING,9/18/2013 23:11,13,BUSHING REPAIR
68,2,Archived,103,SQD-57,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163048,EA-6B,EA-6B,FIXED WING,12/3/2013 23:11,15,BUSHING REPAIR
69,2,Cancelled,0,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,,161259,CH-53E,H-53,ROTOR,11/22/2013 23:11,15,MINOR DEFECT
75,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164012,FA-18C,F-18 LEGACY,FIXED WING,12/22/2013 23:11,18,BUSHING REPAIR
76,2,Archived,103,SQD-26,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,163931,AH-1W,H-1,ROTOR,9/24/2013 23:11,9,PANEL REPAIR
77,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164062,FA-18C,F-18 LEGACY,FIXED WING,11/15/2013 23:11,22,CRACK
78,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164602,FA-18C,F-18 LEGACY,FIXED WING,1/6/2014 23:11,5,BUSHING REPAIR
79,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,163087,CH-53E,H-53,ROTOR,12/13/2013 23:11,25,CRACK
81,2,Archived,103,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,,161259,CH-53E,H-53,ROTOR,10/25/2013 23:11,18,MINOR DEFECT
82,2,Cancelled,0,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,,161259,CH-53E,H-53,ROTOR,11/20/2013 23:11,24,MINOR DEFECT
83,2,Archived,103,SQD-2,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,166356,MH-60S,H-60,ROTOR,11/7/2013 23:11,21,BUSHING REPAIR
84,2,Archived,103,SQD-43,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,167865,MH-60S,H-60,ROTOR,11/24/2013 23:11,17,BUSHING REPAIR
85,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164653,FA-18D,F-18 LEGACY,FIXED WING,9/12/2013 23:11,15,MINOR DEFECT
87,1,Archived,103,SQD-3,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,167892,MH-60S,H-60,ROTOR,10/30/2013 23:11,22,MINOR DEFECT
88,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,10/20/2013 23:11,27,MINOR DEFECT
89,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164054,FA-18C,F-18 LEGACY,FIXED WING,12/10/2013 23:11,29,BUSHING REPAIR
90,2,Archived,103,SQD-130,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,,161338,P-3C,P-3,FIXED WING,12/2/2013 23:11,23,CRACK
92,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,12/2/2013 23:11,12,BUSHING REPAIR
93,2,Cancelled,0,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,165532,FA-18D,F-18 LEGACY,FIXED WING,11/24/2013 23:11,16,FUEL CELL
94,2,Cancelled,0,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,166356,MH-60S,H-60,ROTOR,11/28/2013 23:11,12,CRACK
95,2,Archived,103,SQD-131,NAF Misawa JP,Japan,PACIFIC,141.371341,40.704156,,163000,P-3C,P-3,FIXED WING,10/23/2013 23:11,14,CORROSION
96,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164029,FA-18C,F-18 LEGACY,FIXED WING,11/9/2013 23:11,7,FUEL CELL
97,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164012,FA-18C,F-18 LEGACY,FIXED WING,11/18/2013 23:11,12,FUEL CELL
98,2,Archived,103,SQD-35,Iwo Jima JP,Japan,PACIFIC,141.321475,24.785368,,167858,MH-60S,H-60,ROTOR,11/6/2013 23:11,3,MINOR DEFECT
99,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164054,FA-18C,F-18 LEGACY,FIXED WING,10/30/2013 23:11,10,BUSHING REPAIR
101,2,Archived,103,SQD-26,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,163932,AH-1W,H-1,ROTOR,11/26/2013 23:11,7,CRACK
102,1,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165687,FA-18D,F-18 LEGACY,FIXED WING,12/2/2013 23:11,16,MINOR DEFECT
106,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164012,FA-18C,F-18 LEGACY,FIXED WING,11/11/2013 23:11,30,BUSHING REPAIR
107,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164042,FA-18C,F-18 LEGACY,FIXED WING,11/14/2013 23:11,23,FUEL CELL
109,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165684,FA-18D,F-18 LEGACY,FIXED WING,10/23/2013 23:11,16,MINOR DEFECT
111,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167983,KC-130J,C-130,FIXED WING,10/30/2013 23:11,24,CRACK
112,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/10/2013 23:11,17,MINOR DEFECT
113,2,Archived,103,SQD-131,NAF Misawa JP,Japan,PACIFIC,141.371341,40.704156,,163000,P-3C,P-3,FIXED WING,11/27/2013 23:11,21,PANEL REPAIR
115,1,Cancelled,0,SQD-95,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165593,AV-8B,AV-8,FIXED WING,11/13/2013 23:11,17,MINOR DEFECT
116,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164054,FA-18C,F-18 LEGACY,FIXED WING,12/12/2013 23:11,26,BUSHING REPAIR
117,1,Archived,103,SQD-4,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,,163056,MH-53E,H-53,ROTOR,1/6/2014 23:11,69,CRACK
119,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,12/30/2013 23:11,19,FUEL CELL
120,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,167982,KC-130J,C-130,FIXED WING,11/18/2013 23:11,14,MINOR DEFECT
121,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164062,FA-18C,F-18 LEGACY,FIXED WING,9/28/2013 23:11,19,BUSHING REPAIR
122,1,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165409,FA-18D,F-18 LEGACY,FIXED WING,12/26/2013 23:11,22,BUSHING REPAIR
123,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165411,FA-18D,F-18 LEGACY,FIXED WING,1/5/2014 23:11,2,BUSHING REPAIR
124,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,163075,CH-53E,H-53,ROTOR,11/22/2013 23:11,10,CRACK
125,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165411,FA-18D,F-18 LEGACY,FIXED WING,11/29/2013 23:11,14,BUSHING REPAIR
126,2,Archived,103,SQD-134,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,162150,C-2A,E-2/C-2,FIXED WING,11/14/2013 23:11,22,MINOR DEFECT
128,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164054,FA-18C,F-18 LEGACY,FIXED WING,10/3/2013 23:11,25,BUSHING REPAIR
130,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164012,FA-18C,F-18 LEGACY,FIXED WING,12/12/2013 23:11,10,BUSHING REPAIR
131,2,Archived,103,SQD-100,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164874,FA-18D,F-18 LEGACY,FIXED WING,10/11/2013 23:11,23,MINOR DEFECT
132,2,Archived,103,SQD-100,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164685,FA-18D,F-18 LEGACY,FIXED WING,11/6/2013 23:11,14,MINOR DEFECT
133,2,Cancelled,0,SQD-100,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164735,FA-18D,F-18 LEGACY,FIXED WING,10/17/2013 23:11,8,MINOR DEFECT
134,2,Archived,103,SQD-47,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165107,SH-60B,H-60,ROTOR,10/20/2013 23:11,16,MINOR DEFECT
135,2,Archived,103,SQD-102,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,164702,FA-18D,F-18 LEGACY,FIXED WING,10/29/2013 23:11,1,CORROSION
136,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164010,FA-18C,F-18 LEGACY,FIXED WING,11/6/2013 23:11,17,MINOR DEFECT
137,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166446,FA-18E,F-18 SUPERS,FIXED WING,9/27/2013 23:11,22,CRACK
140,2,Archived,103,SQD-29,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,162550,AH-1W,H-1,ROTOR,10/31/2013 23:11,9,MINOR DEFECT
141,2,Archived,103,SQD-29,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,165319,MV-22B,V-22,ROTOR,12/5/2013 23:11,3,MINOR DEFECT
142,1,Archived,103,SQD-6,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,164770,MH-53E,H-53,ROTOR,12/16/2013 23:11,12,MINOR DEFECT
143,2,Archived,103,#N/A,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,166367,MH-60S,H-60,ROTOR,10/5/2013 23:11,13,BUSHING REPAIR
144,1,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164062,FA-18C,F-18 LEGACY,FIXED WING,9/18/2013 23:11,12,CORROSION
145,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164050,FA-18C,F-18 LEGACY,FIXED WING,12/20/2013 23:11,15,FUEL CELL
146,2,Archived,103,SQD-32,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,163786,HH-60H,H-60,ROTOR,9/21/2013 23:11,9,MINOR DEFECT
147,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164010,FA-18C,F-18 LEGACY,FIXED WING,12/3/2013 23:11,27,CORROSION
148,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165528,FA-18D,F-18 LEGACY,FIXED WING,9/19/2013 23:11,19,MINOR DEFECT
149,1,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164010,FA-18C,F-18 LEGACY,FIXED WING,11/30/2013 23:11,22,CRACK
150,1,Cancelled,0,SQD-100,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,164884,FA-18D,F-18 LEGACY,FIXED WING,10/24/2013 23:11,18,MINOR DEFECT
151,1,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164050,FA-18C,F-18 LEGACY,FIXED WING,11/13/2013 23:11,25,CRACK
152,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,162524,CH-53E,H-53,ROTOR,10/23/2013 23:11,11,MINOR DEFECT
153,2,Archived,103,SQD-100,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,164884,FA-18D,F-18 LEGACY,FIXED WING,12/13/2013 23:11,25,MINOR DEFECT
155,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164054,FA-18C,F-18 LEGACY,FIXED WING,11/3/2013 23:11,13,BUSHING REPAIR
156,2,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,164690,FA-18D,F-18 LEGACY,FIXED WING,10/26/2013 23:11,18,CRACK
157,1,Archived,103,SQD-28,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,154825,CH-46E,H-46,ROTOR,10/4/2013 23:11,19,INSPECTION
158,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,12/20/2013 23:11,17,CRACK
159,2,Archived,103,SQD-4,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,,163056,MH-53E,H-53,ROTOR,1/11/2014 23:11,19,BUSHING REPAIR
160,1,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164050,FA-18C,F-18 LEGACY,FIXED WING,12/16/2013 23:11,16,CRACK
161,2,Archived,103,SQD-22,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,164574,AH-1W,H-1,ROTOR,10/9/2013 23:11,6,MINOR DEFECT
163,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,164361,CH-53E,H-53,ROTOR,11/5/2013 23:11,9,CRACK
164,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164012,FA-18C,F-18 LEGACY,FIXED WING,12/11/2013 23:11,7,BUSHING REPAIR
172,2,Archived,103,SQD-79,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166901,FA-18E,F-18 SUPERS,FIXED WING,12/3/2013 23:11,3,CORROSION
173,1,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165865,FA-18E,F-18 SUPERS,FIXED WING,1/15/2014 23:11,17,MINOR DEFECT
174,1,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165788,FA-18E,F-18 SUPERS,FIXED WING,12/17/2013 23:11,9,MINOR DEFECT
175,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,9/18/2013 23:11,18,MINOR DEFECT
176,2,Archived,103,SQD-79,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166908,FA-18E,F-18 SUPERS,FIXED WING,11/23/2013 23:11,7,MINOR DEFECT
177,2,Archived,103,SQD-47,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,163239,SH-60B,H-60,ROTOR,11/18/2013 23:11,14,CORROSION
178,2,Archived,103,SQD-28,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,162550,AH-1W,H-1,ROTOR,10/17/2013 23:11,18,MINOR DEFECT
179,2,Archived,103,SQD-88,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163993,FA-18C,F-18 LEGACY,FIXED WING,11/11/2013 23:11,5,MINOR DEFECT
180,2,Archived,103,#N/A,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,167873,MH-60S,H-60,ROTOR,1/3/2014 23:11,4,BUSHING REPAIR
181,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164036,FA-18C,F-18 LEGACY,FIXED WING,12/26/2013 23:11,10,MINOR DEFECT
182,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164067,FA-18C,F-18 LEGACY,FIXED WING,11/28/2013 23:11,9,MINOR DEFECT
183,2,Archived,103,SQD-57,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,163399,EA-6B,EA-6B,FIXED WING,11/23/2013 23:11,7,MINOR DEFECT
184,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,164361,CH-53E,H-53,ROTOR,11/13/2013 23:11,24,MINOR DEFECT
185,1,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165409,FA-18D,F-18 LEGACY,FIXED WING,12/7/2013 23:11,6,BUSHING REPAIR
186,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164662,FA-18D,F-18 LEGACY,FIXED WING,1/2/2014 23:11,17,MINOR DEFECT
187,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165685,FA-18D,F-18 LEGACY,FIXED WING,11/8/2013 23:11,5,MINOR DEFECT
188,2,Archived,103,SQD-83,NIPPI,Japan,PACIFIC,139.482422,35.569842,,165869,FA-18E,F-18 SUPERS,FIXED WING,12/8/2013 23:11,20,MINOR DEFECT
189,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165680,FA-18D,F-18 LEGACY,FIXED WING,11/18/2013 23:11,13,CRACK
190,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164021,FA-18C,F-18 LEGACY,FIXED WING,10/6/2013 23:11,21,MINOR DEFECT
191,2,Archived,103,SQD-78,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,164062,FA-18C,F-18 LEGACY,FIXED WING,10/14/2013 23:11,11,MINOR DEFECT
192,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165409,FA-18D,F-18 LEGACY,FIXED WING,12/8/2013 23:11,17,CRACK
193,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,165415,FA-18D,F-18 LEGACY,FIXED WING,10/28/2013 23:11,16,FUEL CELL
194,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164662,FA-18D,F-18 LEGACY,FIXED WING,11/1/2013 23:11,3,MINOR DEFECT
195,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166439,FA-18E,F-18 SUPERS,FIXED WING,11/18/2013 23:11,17,CRACK
196,2,Archived,103,SQD-129,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,162777,P-3C,P-3,FIXED WING,10/23/2013 23:11,14,CORROSION
197,2,Archived,103,SQD-76,USS Stennis,CVN,AFLOAT,92.726328,-6.54528,,166439,FA-18E,F-18 SUPERS,FIXED WING,11/13/2013 23:11,19,CRACK
