ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1568,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164227,FA-18C,F-18 LEGACY,FIXED WING,9/29/2014 18:24,10,BUSHING REPAIR
1569,2,Complete,102,SQD-46,USS Bush,CVN,AFLOAT,64.618,7.8234,,168540,MH-60S,H-60,ROTOR,9/29/2014 18:28,25,BUSHING REPAIR
1570,2,Complete,102,SQD-105,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,163167,FA-18A,F-18 LEGACY,FIXED WING,9/29/2014 19:00,18,MINOR DEFECT
1571,1,Complete,103,SQD-84,USS Bush,CVN,AFLOAT,64.618,7.8234,,166781,FA-18E,F-18 SUPERS,FIXED WING,9/29/2014 19:07,22,BUSHING REPAIR
1572,1,Complete,102,SQD-77,USS Bush,CVN,AFLOAT,64.618,7.8234,,164223,FA-18C,F-18 LEGACY,FIXED WING,9/29/2014 19:30,13,FUEL CELL
1573,2,Complete,102,SQD-123,"Moron, Spain",Spain,EUROPE,-5.456954,37.128441,,168225,MV-22B,V-22,ROTOR,9/29/2014 23:00,8,MINOR DEFECT
1574,2,Complete,102,SQD-30,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,,164784,CH-53E,H-53,ROTOR,9/30/2014 18:32,57,CRACK
1576,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164025,FA-18C,F-18 LEGACY,FIXED WING,10/1/2014 18:08,19,BUSHING REPAIR
1577,1,Cancelled,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167820,MH-60S,H-60,ROTOR,10/1/2014 19:04,13,BUSHING REPAIR
1578,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164660,FA-18C,F-18 LEGACY,FIXED WING,10/2/2014 18:54,23,PANEL REPAIR
1579,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164654,FA-18C,F-18 LEGACY,FIXED WING,10/2/2014 18:57,30,CRACK
1580,2,Complete,102,SQD-77,USS Bush,CVN,AFLOAT,64.618,7.8234,,164630,FA-18C,F-18 LEGACY,FIXED WING,10/2/2014 19:01,23,MINOR DEFECT
1581,2,Complete,102,SQD-86,USS Bush,CVN,AFLOAT,64.618,7.8234,,164243,FA-18C,F-18 LEGACY,FIXED WING,10/2/2014 19:04,33,CRACK
